"","Var1","Freq"
"1","abegel#2066",2
"2","Andrew Duchowski#8309",3
"3","Florian Hauser#1774",6
"4","Halszka#6133",2
"5","HirotoHarada#0443",3
"6","imnotamember#0100",9
"7","JonathanSdlr#1695",1
"8","Marjaana Puurtinen#3084",6
"9","Naser#1609",10
"10","Natalia Chitalkina#5818",15
"11","njssnjss#0837",1
"12","OldCanada#6524",12
"13","peitek#2292",17
"14","RB#1006",3
"15","Sarah Fakhoury#8253",1
"16","Selina Emhardt#3277",16
"17","Standa Popelka#2329",2
"18","Takatomi Kubo#1749",3
"19","Teresa#9355",4
"20","unaizah#9120",11
"21","Zohreh Sharafi#1998",8
"22","zombieowl#4403",14
"23","Zsofia Pilz#3944",4
